,comment_text,toxic
39241,yeah this is me ll e j i am a gambian i born 1991 dec 17 i start soporting in 2008 may 5 i love gambian music real is my i start to commen to my show an my videos in facebook that time in serekunda in 2009 i move there i go to b c centeral bien there with my family one day i sure king sir x on the bench he is doing nice thing there couse he is rapa i be his friend real we eneytime in the bench like hem top hip pop is starting by king sir x an bk city an mo hwak an vypa amie dibba st gambian dream du fee an me ll e j ha ha love hip love king sir x love black linx love on the bench we ar one heart from one blood we need more fans on the bench fiila gambian things   fter i start to writh song this is my first song   Yeah e j one man soljer rapin bc centaral ha ha hip pop on the bench nigger  chorus  King of bc is sir x everybody knows what he do Yeah King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do Arha King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do  Rap yeah king sir x you ar the one who tell me that nusic is the mistion every day an night I get to play music in my home some time when I play music my family will be comeplen will be comeplen ha ha music is my life everybody folow me lest fgo to club we gonna go down an stile king sir Some x is now give some disc dont give a shit that name you only one heat sir x my see dancen in club is my shit D J playing sir x chun oh is my game is my shit I do it like a king do I do my belen belen flow yo nigga lock at the me chang my flow like a king sir x ha music is my life everybody knows chorus  King of bc is sir x everybody knows what he do Yeah King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do Arha King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do  The Gambia music industry and show business in general have witnessed significant growth over the years  Despite the growth registered the industry has not reached a cherished and recognized level    The contention is that much more could be done to yield greater results and as well again the glory and patronage the music industry enjoyed in the 60s Open Mic Paradise FM  Basic Information  About Fiila Gambian Dream  Executive Producers  Abdou karim waagan Fye  Harona Drammeh  Presenters  Xmyls  Blacka Shine  Sub Presenters  Oumie Jawo  Binzy  Golly  DirectorEditor  Ousman Jarjue  EditorGraphics  Lamin jr Saine  FlxMan  Editor  Maimuna Manneh Fye  Camera  Muhammed Gomez  Sajar Daffeh  Mustapha Kinteh  after i start to go our show open mic every good frieday  after that i writh ar nother song yeah king sir x I get you hip pop one the bench is our on lest kip soporting fiila gambia black linx nigger forst to say wadup to e j nigga go to swath everybody asking me wa Am from the click bc centaral click bien fans I fix meny rock da bench we need money we need fans wa We blow in town right now bitches wanna konw you see our chang yo king sir x you always in the hood do your lil business Yo nigga I dont kear who you ar couse am in the hood call m unit if the money we make it bitches make them WA E j one man soljer hip pop on the bench me I say hip pop on the bench black linx nigga chorus King of bc is sir x everybody knows what he do Yeah King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do Arha King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do King of bc is sir x everybody knows what he do,no
39615, hi  penny arcade advice   Hi Mr Wikipediania  Just saw your removal of my Penny Arcade update Im new to wiki and think i now grasp why you removed it im wondering if it would be appropriate to instead say something like Bitch Dyke Faghag Whore was revived in London in 2012 for an extended run   Arcades page makes it sound like she has become inactive of late which is very much not the case so i wanted to correct this  Thanks a lot in advance  Aaron,no
40400,tonys balls itch and so do your bitch,yes
40808,  Im so infuriated right now I really dont know what to say  The comment in question is only laughable to the extent that people think its true  the humor here is a rueful chuckle of recognition the viral hook by which misogynistic bullshit perpetuates itself  and I can tell you right now that as a 20something woman I feel much less inclined to put time into Wikipedia knowing that members of the community endorse this douchery  Also considering the extent of gendered violence against women worldwide the wage gap c c its sheer idiocy to say that feminism won  and are you seriously resorting to the Some of my best friends belong to X marginalized group and agree with me therefore I am right argument  Seriously  Not all women have the same opinions Im flabbergasted that this actually needs saying and some including me will be alienated by this sort of remark  Saying that Woman sic are naturally bitchy is a nasty pernicious generalization and its doubly infuriating that by protesting this characterization Im playing right into it  Please bloody well consider what youre supporting and stand down   ,no
41228,BYE  IM NEVER COMING BACK AND YOU NINNYS CAN SQUIM AND BITCH ABOUT ANYTHING YOU WANT,no
41447, Headline text   Bold textBITCH CHRIS BROWN IS MYNE U HEARE ME ALL MINE BUY BITCHLUV U CHRIS BROWN,yes
42767,Suck ma ballz bitches,yes
43387,About user 24611571  Hi my name is Lisa I go by the ip address 24611571 Im a transexual bastard oops make that bitch  I used to be called Jack but I had a sex change and now my name is Lisa I had lesbian sex with John Kerry once that was after I became a woman I think Im smart but really I have about the IQ of a crack head such as John Kerry Wow did you know that the average human lets off 20 farts a day I let off about 86400 my friend who rapes me all the time says that thats one a second Wow Im way better than you I am now in a special school that means that Im special Im now learning how to poop Wow Im gay,yes
43897, Bitch Please   Woman please,yes
45040,hey bitch  Bold textdsdafItalic textLink title   Headline text MediaExampleoggInsert nonformatted text here REDIRECT Insert text  Insert nonformatted text hereREDIRECT Insert textREDIRECT Insert text,no
45050,You called  a BITCH on their user talk page  This is unacceptable  2000,yes
45150,   Just to be clear I hope you didnt read the above as implying that you did something wrong in any way all I was trying to say is politics is a bitch  ,yes
45957,Stop bein such a bitch just let your mangina hang low Maybe you should take roids to even it out with your high levels of estrogen Take that beotch,yes
46178,Do i care what u say absolutley not u bitch,yes
46296,YOUVE ALWASY BEEN A WORTHLESS LITTLE BITCH  I HEREBY AWARD THIS SCUMSTAR TO FIRESTARSCUMBAG EXTRAORDINAIRE,yes
46314,And thanks for reverting  Look we can bitch at each other laugh with each other agree sometimes and disagree others and you know I dont take it personal but ANI already has enough problems on a good day  I just try to keep it drama free for whoever gets dragged there  If you want to come here and bitch about SPI you might find me agree with several points but this is the right place to have that conversation not there  Thats all Im saying       Join WER,no
47054,  Haha weirdly i did like Blurred Lines at the beginning when no one knew it but later it became overrated I really hope Bitch Better Have My Money replaces the stupid Funk Its still 1 on iTunes however I am not sure how much airplay receives â€”  ,no
47634,   Door Bug   I dont own this game but apparently it has or had a door bug where in hard mode a certain door doesnt open urlhttpwwwyoutubecomwatchvnQr1AvIuGAY this YouTube video has over 100 people thumbs upping Thumbs up if that son of aï»¿ bitch door bug brang you here and pretty much all the other comments to the video appear to be about it I searched this Wikipedia article for bug and door and got no matches Maybe information about the door bug should be added to it its quite a big deal if a game like this has a major bug like that   ,no
47997,Preston and Steve Gay safe radio  Cookiecutter bullshit  Nothing but the same old shit every day  Kathy Romano is an annoying bitch  Anyone with any taste will listen to Kidd Chris mornings,yes
49167,Your post count has nothing to do with how cool you are on IRC bitch,yes
50451,Shut up bitch who kares wat war just read da plot and shut da fuk up,yes
51632,Stupid bitch,yes
53235, By the way the same user has posted repeatedly on the Fidel Castro page calling other users Bitches etc There is no more to be said this is a BLP,no
53905,  Speedy deletion of Bitch Slap Radio   A tag has been placed on Bitch Slap Radio requesting that it be speedily deleted from Wikipedia per CSD a7   Under the criteria for speedy deletion articles that do not meet basic Wikipedia criteria may be deleted at any time Please see the guidelines for what is generally accepted as an appropriate article and if you can indicate why the subject of this article is appropriate you may contest the tagging To do this add  on the top of the article and leave a note on the articles talk page explaining your position Please do not remove the speedy deletion tag yourself but dont hesitate to add information to the article that would confirm its subjects notability under the guidelines   If you think that this notice was placed here in error you may contest the deletion To do this add  on the top of the page just below the existing speedy deletion or db tag and leave a note on the pages talk page explaining your position Please do not remove the speedy deletion tag yourself  ,no
54092,Let us please hunt this bitch down and kill it like we should have been allowed to do with bernardo homolka and olsen,yes
54346,your giants fans bitches,yes
54533,centerSUCK THIS HAIRY COCK YOU BITCH,yes
54534,Oh bitch is gonna block me better move to the next house ah hahaha,yes
54657,  Bitch Im Madonna  Would you kickstart this one I think its high time seeing this â€”    ,yes
54658,REDIRECT TalkDa Baddest Bitch II Reloaded,no
54795, HUH   I DIDNT VANDALISE DAT PAGE CHECK ME EDITS BITCH,yes
55373,Sauskesan what up bitches,yes
58136,I Can design of Wikipedia we are copy things from the web Today You Son of Bitch,yes
61142,hey hate your page love your colors hate you so bit of bitch,yes
61839,  Disrespectful  I have her picture on my nighttable and I pray to her visage every night before going to bed that she will save my soul  I live for the day that her icy cream will fill the nooks and crannies of my mouth like so much butter on a stillwarm English muffin  However despite my abject faith in her she dont get a Wikipedia article  Lifes a bitch sometimes Â Â  ,yes
62452, You asked a YesNo question Dont bitch if you get such an answer  Unity just like GNOME Shell has been written from scratch Both dont even have desktop icons in their current form,yes
62918,meow bitching this seems abit POV,yes
63125,Hello you little bitch its me WCGSBoy and all of your friends and yourself should stay well away from me or face harsh consequences,yes
63445,Please stop creating pages to call people bitches and listing these people on bitch These edits are considered vandalism If you continue you will be blocked from editing Wikipedia  ,no
64769, bitch   your a bitch,yes
66059,Understood Just explaining that I was not willing to do a restore The frustrated bitching just made me feel better about it,no
67616,So you are making the claim that hes notable outside of his book Could you provide some details to substantiate that rather than just bitching about SA,no
67720,bgcolorlightgreenBorn This Way  Lady Gaga  8  7  5  6  7  33    RocÃ­o Guirao DÃ­az  Sexy Bitch  David Guetta  10  8  9  9  10  46    Zaira Nara  Music  Madonna  8  8  6  10  8  40    Denise Dumas  Toxic  Britney Spear  9  7  7  7  8  38    Coki RamÃ­rez  Sex Bomb  Gary White  10  9  6  9  9  43    Silvina Luna  Firework  Katty Perry  9  8  8  8  6  39    Vanina Escudero  Gimme More  Britney Spear  8  7  6  10  10  41    MÃ³nica Farro  My Humps  The Black Eyed Peas  8  8  5  9  7  37    bgcolorLightgreenNicole Neumann  bgcolorlightgreenSingle Ladies  Beyonce  7  7  4  6  7  31    Eugenia Lemos  Dont Stop the Music  Rihanna  9  8  3  7  7  34    Luciana Salazar  Sorry  Madonna  10  10  6  8  9  43    Adabel Guerrero  Cant Get you out of my Head  Kylie Minogue  8  9  7  9  9  42    MÃ³nica Listorti  Womanizer  Britney Spear  10  10  7  5  9  41,no
67915,Give me my chocolate bitches,no
68152, Hes George Bushs bitch   Nuff said if you idiots in America wanna keep bitching about Geroge W dont put this idiot in power too,yes
68398,Thats My Bitch  This track is in no way confirmed for the album  ,yes
68465,Barbara Boxer and armenian lies  This senator is a soldout discusting politician who have several times chosen the political interests and armenian fascist diaspora issues over the national interests of USA She is indeed a bitch politician People voting for her are stupids   She has lost all her impartiality and now displays fascist and racist attitude and hater towards Turks Azerbaijanis and Muslims in the world All her activity is designed to spur and increase American hater  to Turks and Muslims This is not a woman this is a fascist armenian sold bitch devil politician   ,no
70550,Give me my chocolate bitches,yes
70926, SOK  Down the Well Feat Pelican Funder Thunder and Mr Vandal   Intro  Pelican  RAP   Throw that guy down the well   Show that guy you just love hell   There is a city around me   I know sometimes who likes to pee  Verse 1  SOK  SINGING   Go down town I smell gay   And I have a lot of bills to pay   I can bounce I can trounce   I can catch the fastest mouse  I see sty garbage men   They dont smell good but since when   Since when did they smell bad   Those crazy guy makes me mad  Hook  SOK  SINGING   Throw the bitch down the well   Throw the bitch down the well   He will make a nasty smell   Throw the bitch down the well  Throw the bitch down the well   Throw the bitch down the well   Throw him down the nasty well   Throw the bitch down the well  Verse 2  Pelican  RAP   What the fk is with the bash   I got money a pocket full of cash   My jewel is a candle predicts the future   Shove down the girl you can mute her  Blow out the candle dont go fast   Or he will hurt you youll get the cast   Dont figure crap I know how to rap   And once I rap he will snap  Hook  SOK  SINGING  Verse 3  Funder Thunder  RAP   They call me Thunder I cannot die   Ill beat him up I will survive   I will begin I will go sing   I know how to shove his head into a ring  He annoys SOK that goddarn thing   He makes me wanna blow his ears and make me wanna scream and sing   I can go flying Ill turn it up   But maybe all this is a bit much  Hook  SOK  SINGING  Bridge  Mr Vandal  SINGING   So throw him down now now now now now   So throw him down now now now now now   So throw him down now now now now now   Yeah throw him down down down down down   Yeeeeeeeeeeeeeeeeeaaaaaaaaaaaaaaaaahhhhhhhhhhhhhh  Hook  SOK  SINGING  Outro  Mr Vandal  SINGING   Hah Thank you SOK,yes
71116, Missing certification   as of August 18 Bitch Better Have My Money is officially GOLD in Denmark,no
71358,Samar is from delran He is in 11th grade Brandon is this bitch,yes
72002,I am also a huge slut I have nothing better to do then to bitch about random wiki articles Please kill me,yes
72272,What we need is a cool box a page where people can go abd bitch it out get it out of their system then come back to earth And then the box content would be perm deleted,no
72330,Sandy What a bitch,yes
73043,   Removed content feminist b   I removed this twice so far  Women should avoid labeling their male partners as chauvinist pigs unless their male partners are truely derogatory towards women The loose application of the term chauvinist pig may highly offend a nonchauvinist male and put the female in bad light It may even cause the female appear to be an overbearing feminist bitch  This content is not encyclopedic It reads as advice and isnt sourced It doesnt help the reader understand the term any better Any insult or pejoritive falls under this so the information isnt unique either This content needs to be refined and sourced if to have a chance at all in the article Please explain these changes more here before editing further Thanks ,no
73227,david cameoron was a ugly fat bitch,yes
73232,Wow that was a bigger bitch than I thought it would be D You can check my move log if you have any question about where they wound up though I kept the namings all as logical as possible Let me know if I missed anything,yes
74324, find someone else to close the current RfC I cant handle the bitching ,no
75407,So do it instead of bitching about it,no
75668,If you fidn this page then    GO TO THELL BITCH ,yes
75946,  I just love her the only straight I am is straight up bitchok so you think we should leave it lesbian or should it be bi since she dated guys Or should we chalk that up to being in the closet I actually have to head to work right now for 12 hours but Ill see your response when I get back Ill support what ever you do   ,yes
76353, bitchy player   he hit me when he lost a game,no
76962,   LOL yeah fail xD I just looked on eBay better off getting it on her site Some bitch is selling the deluxe debut for 400 oO â„¥Â· ,no
77032,and people thought that she was a bitch,yes
77070, Sourced material   Who else agrees that the Victoria Nuland is a bitch,yes
77787,  This is not the place to bitch about who you think should or should not have won Please do not delete this comment again please instead read WikipediaNOTFORUM We do not care about the opinions of a man who just screams about who should have won and that everyone else who disagrees is a noob or dummy   ,no
77935,Guys pleaseâ€¦ come on This guy is a comedian and a fine one in my opinion not a hate monger Comedy is a form of art take it as is Why do people waste energy bitching about stuff like this Iâ€™ll never know,no
78143, Featured article   and todays featured article is some useless bitch white boy shud be called whitepedia mothafkn white bitchz we have obama WE HAVE OBAMA GOIN DOWN,yes
78287, Yo   Come at me as starship9000 bitch,no
78812,Bloody hell Hell in a Bucket David Tombe and Brews ohare your lives must really be shallow if you spend time bitching about Wikipedia Go forth and find a new hobby  flower arranging or something Jeez Where is that rolling eyes emoticon when you need it  Jon,no
79070,Gamespot has a special feature about it  including the infamous make you his bitch piece   ,yes
79664,   Obscene and offensive language next to the name   I am new to this but I needed to make this known anyway I could  The words DEEZ NUTS IN YO FACE BITCH  have been written next to Thomas S Monsons full name in bold  What is the purpose of putting this phrase How can I submit a correction to this,no
79889,I think there should be some mention of how he went on a date with a total bitch httpgizmodocom5833787mybriefokcupidaffairwithaworldchampionmagicthegatheringplayer,yes
79989,RU A NAZI U FAT BITCH BRING IT ON LETS WIKIBATTLE,yes
81070,ICE CUBE he is a cool person but he needs to make his raping better All he needs is another good track and he is a fat bitch that stupid fagget,yes
81711,noncriticism section  since this all seems to be bitching and complaints and gossip I added a nonbitching section I have met the German party They are exposing Felix Rohatyn as a Nazi It seems this is an international exposure Why is there a nazi behind the Democratic party Is the USA going facist,no
82022,    Headline text   hahaha bitchesBLOW ME ,no
83133,Ive removed that statement since I recall having seen that several times  typically during early morning  Dont remember seeing it much before midnight though but I definitely have seen it  I distinctly remember buggeration Twicenightlys slobknocks or something similar and one of the guys from Scrubs launching into a tirade ending in something like bitch  head  I would try watching the link but its just not working for me   talk back   ,no
83439,What you have to say doesnt care  Are you more concerned with the violation of copyright or with that bitch,yes
83811, Contested deletion   This page should not be speedy deleted because     cause its legit BITCH,no
83986,It would be a BLP violation to accuse Hilton of engaging in hate speech in article space  In article talk space its probably within the bounds of acceptability  to do it in the course of reasonable ontopic discussion  However it is not hate speech by a long shot  Calling women bitches when one is upset or wishes to provoke is simple sexism which is a long way from hate speech  Is there any argument that Hilton was doing any more than using a sexist expletive towards someone he considered homophobic  Repeating the claim again and again all over the encyclopedia is soapboxing and it is not leading to productive discussion  We get the idea its a bad thing to say  The real question is whether its of due weight and suitably relevant to Prejeans notability  Normally people calling each other names is not so noteworthy  Whats the argument that it is  ,no
85838,are you a bitch,yes
85941,   Lol   For the amount of times you claim Im bitchingI can only presume you took it personally Moreove I came to this page in an attempt to lear about Erik Buell but I know enough to recognize adoration and not mistake it as objectivity,no
86012,Bitch shuddup Casey Talbot sucks,yes
87120,  balance  This page has one sentence about the basic definition of the word and a huge amount about the slangprofane uses Perhaps the former should be extended is there no information about female dogs available beyond their name This is an encyclopaedia not a dictionary     i feel that whoever is looking this definition up is very appropiate and should be deleted from wikipediaIMMEDIATLY this word is used very often and is also a very mean word i belive that is majorly true very much so okay so the good meaning is a female dog  BITCH   â€”Preceding unsigned comment added by   â€¢     etymology  The word bitch is from the Old Norse Bikkjuna meaning female of the dog of unknown origin Grimm derives the Old Norse words from Lapp Pittja But OED notes that the converse is equally possible  The adj Bitchy was first seen in 1925   The verb meaning to complain in 1930  Slang Bitchen good is attested to the 1950s   reclaiming the word bitch   The word bitch is actually only offencive in American and Canadian English In most other English variants bitch maintains its correct definition  female canine People have argued that bitch is different because it is used as an insult  but so is pig dog cow and others These are not considered profane so why is bitch As far as I am concerned there is nothing to reclaim as bitch simply means a female canine  It may be used as a pejorative or descriptor  that does not make it a profanity      It should definately say something about Kyle Vanderweilen and all his bitchin Is there any particular evidence of women reclaiming the word bitch in the 90s Can anyone point to articles on this etc The song is definitely interesting and belongs here but doesnt actually reclaim the word bitch any more than it reclaims the word sinner  Also I dont really understand the last paragraph and it sucks  I was going to try and clear it up but I realized I dont know what it means Can someone point to a source that lays out the argument about bitches fertility and patriarchy more clearly   We dont need articles at all as I there are definitely enough examples even outside of the 90s Missy Elliot cleary and repeatedly reclaims the word for instance Shes a Bitch    References are fine  just the name Missy Elliot got me to find a quote of a rolling stone review that mentioned reclaiming the word In fact if some one knows more about her it might be interesting to add a section on her work and on how it relates to womenslurs more generally within hiphop    How relevant is this reclamation It seems to me poison for a woman to use an epithet which still strongly connotes despised traits I dont see how using a word connoting querolous spiteful and malicious can be empowering But I dont know lifes a bitch    It stems from a reaction to the prevalence of tagging any woman who doesnt adhere to a certain standard of femininity as a bitch To use a literary example in the novel The Handmaids Tale the narrator related the feeling that whenever she outsmarted a man she could almost hear him calling her a bitch in his mind even her own husband     That literary reaction you recited is jealousy men have names for other men who outsmart them too but not having a word like bitch for them they have to resort to a greater variety of pejoritive epithets Though you havent been specific I think that standard of femininity you referred to is a pretext for subordination which both sexes often strive to impose on the other but men have traditionally had more power Because it is such a popular epithet in slang the connotations of bitch are diffuse though still commonly pernicious I think bitch in itself is not chiefly a denunciation to punish women who do not conform to that standard but rather a contemptuous word often used for it  However I still dont see the point of reclamation for if bitch were purged of contem,no
87134,Mary was basicsaly a bitch right,yes
87203, LOCK THIS PAGE so that only registered users can edit it   Sure it may not be a high target for vandalism but vandalism of this article could hurt people  Lucid dreaming is something anyone can ATTEMPT after reading this article and if someone added some vandalized false information then people might attempt to use the false information if this was their first time reading the article  Its not that hard to sign up for wikipedia so the anonymous people have nothing to bitch about,no
87417,I love you you sexy bitch,yes
88663,i hate black poeplemia coleman is a bitchhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh and she wish she could run track knowing clearly that she cant hahahahahahahahah try to look 4 me muthaafuqckersxxxx,yes
89357,YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH,yes
89708,nigga bitch holez lol,yes
90338,hi all you bitchs i can edit any thing i want i am LADY GAGA   it is nice to say APRIL FOOLS,yes
90533,Hi public  Bmozoncom is a Fack site they never deliver any goods they will take money but once you the payment they will block u from Skype and Email  yahoo Public please dont make any payment or trust this site they will say that you can keep this chat as a proof but dont trust them i have been cheated 4000 USD I dont want my friends to be cheated like me if any one who been cheated they can share the comments  The Agent who Cheated me is Ada dont trust that bitch  her email id is bmozon1gmailcom  Skype ID  bmozon1  Thanks   Arul jothi,no
90812,  Quoting a source that says Turner is an uppity little bitch doesnt mean that the Wikipedia community is calling him an uppity little bitch  It has nothing to do with who doesnt like Hal Turner or not or whether hes an uppity little bitch or not its just a quote   ,no
91773,to whom this mayconcern SPIN ON ITSPIN ON MY MEATBITCH DONT MAKE ME TELL YOU AGAINILL BEAT YOUGET ON MY MEAT,yes
91779, Birthday for the umpteenth time   Yes I know that using Twitter as a source is a bit weird but I hope that we can close the issue once and for all now    Dizzee Rascal 18 Sep 2012 Thank you for all your birthday messages   Dizzee Rascal 18 Sep 2013 Its my Birthday bitches Thank you for all your messages and to my fans thanks for the supportâ€¦    Dizzee Rascal 1 Oct 2014 Thanks for all the birthday shouts My birthday was sept 18th I turned 30 but Im happy to except any money u wanna send Serious lol   I guess that should be enough evidence that Dizzees day of birth was the 1st of October 1984,no
91922,   Cookie Monster eating vegetables   Cookie Monster eating vegetables Outrageous Cookie Monster will eventually snap Just wait and see Cookies are a sometimes food NOT IF YOURE A BLUE GOOGLYEYED COOKIE MONSTER Cookie Monster will go postal just like the rest of this insane world I feel so bad for him Hes my hero and hes forced to become a bitch Look at how fake he acts in interviews How long will he be able to keep up with this miserable facade,no
92530,  Your accusations are virtually groundless They are not the worst band that has ever existed since that is a PERSONAL OPINION that has no place in a damned encyclopedia Secondly theyre not Satanists Satanism implies the belief in and worshipping of either the Christian entity of Satan the views and morales of LaVeyen Satanists or the various hodgepodge cults that refer to themselves as Satanists Anal Cunt do not fit either of these descriptions and are thus not Satanists They already tried to delete this article once it failed So get down off your pompous throne and accept the fact that the world is not as pretty and wholesome as you think We need offensive culture in order to develope our own opinions Without offensive rebellion we would not have the great works of art nor the cultural monuments we have And while Anal Cunt are certainly no work of art theyre a credible musical group with an impressive discography and we should not chastise them on the basis of their lyrical content I find overtly Christian bands who encourage violence against nonChrisitans offensive but do you see me running around bitching about it NO So shut up and go eat some Prozac or something,no
92583, You little son of a bitch   You little son of a bitch,yes
93935,  Hello  My name is Maxine and something interesting caught my attention The word Bitch is noted and considered an insult by your standards Bitch InsultenwikipediaorgwikiBitchinsult which I agree with 100 However I noticed that the word Nigger enwikipediaorgwikiNiggerâ€Ž is not Even though in your definition it states it as an ethnic slur So is an ethnic slur not an insult and or considered as such As well as I am very curious on the process and who determines if a word here is an insult or not   To me the word Nigger is an insult In days of slavery the term Nigger Bitch was a common  used practice to describe Black Women Is this not derogatory and insulting I would think the word should look like this on your site Nigger Insult As it is even against the law to refer to someone as such today   I am very interested in your input regarding this matter Thank you  Sincerely  Maxine A Moncrieffe      10212013,no
95274,bitch got that laser,yes
96434,   stylewidth300px fontsize7pt textaligncenter margin auto   rowspan2 stylewidth120px  Prose   stylewidth120px  Citations   Archive     colspan2  AKA proses bitch     stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â    stylebackgroundcolor FED1A0  Â      colspan3      ,no
96470,    y taking off clothesfeeling hotstupid bitch  your father here,yes
96702,Everybody hates the economy why bitch why Im goin to boston sex is a good thing POOOOOOOOOOOOP SOURCE RGMS ALEX NEWBOLD,yes
96720,What about Al Capone bitches,yes
97172, Me   I EAT  MY BOOGIES AND MY NAMES BOOGER HEAD BITCHES,yes
97597, 29 April 2015 UTC  Holy moly When you run out of food for those animals youre in real trouble Which reminds me I need to get both chicken and cat food If I dont the cat will end up as chicken food no doubt Those bitches Poppy and Pigeon totally run the joint even the dog is scared of them   1422,no
98128,  I wouldnt bitch about the length Theres still every possibility you could get indeffed  ,no
98645,Hey bitch stop reverting my edits I was just about to add the source,yes
98768,More unconfirmed songs were added uncited Please remove Bitch Im Madonna Centuries Fergalicious Hideaway Magalenha Mickey and the aforementioned songs The socalled leaks are confirmed to be faked JapanYoshi   ,no
99101,  You arent discussing youre bitching about each other   ,no
99720,THIS WOMAN IS SUCH A BITCH AND DONT DELETE THIS THIS IS A DISCUSION PAGE AND I AM DISCUSING MY VIEWS,yes
100181,In Australia the promos are just srarting and it there calling it GOOD CHRISTIAN BITCHES,no
