,comment_text,toxic
100572, Re Request for copyeditreview or payback is a bitch   I will take Start Rek for 200 David  Set up the peer review and I will try to run it through images too during the weekend,no
101225,REDIRECT TalkBitch insultArchive 1,yes
102097,Shut up tide rolls alabama sucks like your grandmother used to put her lips around kunts and suck the kum out and shallow it phaggot i have no life i got rejected nvr ben laid bitchc,yes
102793, Hey Bitch   Hey Amanda Me not much jus chillin 2 R u still wit Terrence jus Askin Peace Out Himeskillet Homeys For Lyfe Me N YouPeace Out,no
103251,Wat do u mean Tell Skinerbutt8 That BITCH that i said to get away from ur computer She is not a bitch though,yes
103517,   A barnstar for you    stylebackgroundcolor fdffe7 border 1px solid fceb92  rowspan2 styleverticalalign middle padding 5px    stylefontsize xlarge padding 3px 3px 0 3px height 15em  The Original Barnstar    styleverticalalign middle padding 3px  Well I really dont know what to award you this for whether for your edits to the articles of queen of pop or for the one who is a free bitch baby Youre a great contributor and I hope to see so many good quality articles from you     ,no
103660,She was such a bitch i hateher for what she did,yes
104492,Oheix do you have any sources for the Bitch turtle article ,no
104677,spsmack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch up smack my bitch upan,yes
105217,  Dont bitch here Go bitch at FIBA Wed only follow them If we dont follow them whod we follow â€“ ,yes
105431,U SON OF A BITCH SELENA DID SING THAT SONG IF SHE BECAME A SINGER SHE WILL BE FINE U IDIOT,yes
105479,is a big fat douchebag bitch   April 2006   Please refrain from adding nonsense to Wikipedia as you did to Canaanite religion It is considered vandalism If you would like to experiment use the sandbox,yes
106018,YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCHYOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH  YOU SUCK YOU LYING SACK OF SHIT DIE YOU BASTARD YOU ARE BRIANWASHING SONOFA BITCH,yes
106524,  WikipediaArticles for deletionBitch Music  You didnt finish this nomination I finished it for you  and his otters â€¢ â€¢Otter chirps ,no
107566, But it wasnt a bitch it was a trout Theyre so much softer and squishier  ,yes
108561,  I dont even have to click on your link OM to know what your bitching about  Ive decided to vote for Bob Barr Mainly because his Wikipedia article isnt so damn frustrating  Based on that alone I feel hed make a good Leader of the Free World     ,no
109321,Yeah I am watching the repeat on Comedy Central RIGHT NOW 355 PM EDT 27OCT2008 and she is obviously lipsyncing Who does this bitch think she is,yes
109699,tommy y dont u suk my fat dik u bitch,yes
109800,Being a casual and highly amused observer may I make a suggestion to Hellinabucket Brewsohare Mr Tombe and others  Find another hobby  There are more worthwhile things to do with your life than bitching over Wikipedia Jon,no
110729,And then you doctored your post to try to make it appear you had tried to do so  Wholesale text reversions without bothering to explain nasty temper tantrums bitchiness personal attacks disingenuous reediting of the talk page for your benefit  Tsk tsk tsk  All that is bad enough for the lowly lumpen but for an admin  Shame on you  wagging finger p,no
110898,  If only the article were about Israeli bitching about the rest of the world calling the territories it is occupying the occupied territories and not the occupied territories themselves this would all be tremendous Why not go and write a POV article about how were all wrong to call the territories occupied and leave this one for the facts about the occupation  ,no
111743,1 is male he is plain and although oddnumerically is good 1 and 2 are in a relationship but they are both young 2 is a very good number morally and is mature for her age She is nice and helpful 3 is a bitch she is selfish 3 loves 4 4 is popular socially 3 and 4 only get along romantically in a superficial way 2 and 4 were meant for eachother They have a somewhat secret relationship 5 is like 4s mom 5 despite being odd is a very good number She is happy 6 loves 5 romantically and gets along well with 4 and 2 6 is ok I dont like 7 he is indecisive 7 also likes 5 and despite his friendship with 6 would go behind 6s back to be with 5 8 is married to 9 but they are bad for eachother they make 17 which is a dumb number 9 is overpowering and thinks that he is in charge I think of 9 like I think of a cop who has a superiority complex no one likes him I dont like 9 because when he is added to any other number he takes one away ie 9514 9716 He is the son of 10 10 is the best number He is good and caring He is like the grandfather of the numbers When a number is added to him he doesnt take anything away from that number ie 51015 81018 He is like God   I think I developed this to help me do math Instead of having to figure it all out manually I just feel an emotion,no
112602,Okcome with the proof of Paravar as toddy tappersAny author of some other caste can write any thing bad about other casteStop saying that paravar as low casteCome and say this at Tuthukudy to any paravarif you are bold enoughWe have sangam literaturesScholarly researchesneutral researchers like PTSrinivasa IyengarNSubhramanian and Hugh Nevil and other stone and copper plate inscriptions to prove our regalityAsk about Paravars to Kondayam kottai Maravarswho were the protectors of Pandya kingdomThevars respect only the Paravars equalent to themDont speak rubbish of Paravarswith out knowing anythingCome and speak argue with your real name and caste nameDont be cowardice as a bitch to make sound with out expressing your identityCome with your Fking proofs,yes
112989,In general I prefer one mediumsized article over numerous small or tiny articles  I think it provides more accessible information to Wikipedias readers  So just on editorial grounds I would disagree with creating a third article of limited content Stitch  Bitch Cafe when there already exist two highly related articles Stitch n Bitch and Sew Fast Sew Easy           ,no
114991,bitch i go on gaia its a good wwebsite wwwgaiaonlinecomyou will love it you make up a caractor,no
115068,THANK GOD THAT BITCH IS DEAD,yes
115383,No mre need to bitch and whine about the TLC Match I just saw it on WWEcom,no
115455,Thatâ€™s the bitch about love isnâ€™t it When the other person feels the same way itâ€™s the most pure beautiful spiritual thing in the world But when the EXACT same feelings of obsession and adoration arenâ€™t reciprocated thereâ€™s nothing more dark horrible and evil that you can feel,no
116699, Wazup   Im Thomas Blood Bitches,yes
118235,bitchs are fat peoplecurrent,yes
119030,  Thanks for explaining  Maybe Ill pitch a bitch about the use of NRM in such contexts when I get more time and see what happens   ,no
119138,Hey Truth be told Im a mysandric PMSing fking bitch with a snarling caffeine addiction but thanks for the kind words anyway I can dream Looky Someone says Im upbeat ,yes
120790,GANDHI IS A BITCH,yes
121885,Cool Although I doubt theres much I can do to help let me know if there is If nothing else Im happy to utilize cluesticks on people who bitch you out for the changes,no
123851,Also Juggalo Rydas Bitch IS NOT A REAL STREET GANG it is a injoke from Anybody Killas Hatchet Warrior album,no
124001,suk my dik bitches ,yes
124436,   Auld Bitch   Thats what that statue was called by locals at the time and we use the floozie in the jacuzzi and tart with the cart nicknames in the article so personally I cant see why we cant use the Auld Bitch one However nobody has adressed my antique talk page question about wheter the statue is in Sydney or in Victoria  eg Melbourne   ,no
124477, Listen you son of a bitch   Dont go after my work in which Ive lost months just to put boxes Dont delete information about episodes just because it cant look like IMDb Your luck is that I just dont know who you are or you would see And yes I did personal attacks and violate some shit thats what people do when sons of bitches have more protection against personal attacks than people that work against people who destroy others work Now if you want you can go and cry to an Administrator,yes
125963, Ta   Thanks for your action on my userpage and such  there are a few people who are allowed to call me a bitch and get away with it but not generally on WP,no
126384,bitches be like hey can i get your number,yes
126423,  Xoloz you were chastised for recusing yourself  Unreal  You do the ethical thing and someone bitches for vague policy reasons  Again unreal  Ill clarify my vote   ,no
127364,RE JUST LIFELESS FORMS DESIGNED FOR MALE PLEASURE BITCH MAKE ME A SANDWICH,yes
127840,bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch bitch,yes
128632,Well I dont like to say Ill school you if you like sigh although Im a whole new bitch when it comes to musical correctness than what you might have be used to,no
129304, Who gots the green stuff   Foreal nigga  hit me upp if you get the big load bitch,yes
129975,  Hope that bitch knows what the hell shes doing Britneys song is already breaking records albeit being a generic song Its amazing how strong her fanbase is still Hope Gagas fanbase has grown likewise â€”   ,yes
130169,  This was not vandalism but I can see why you might think it was Originally it explained that this scene took place while Ben Stillers character is high on heroin While the movie is primarily about heroin addiction this particular scene is Ben Stillers first experience with Crack Originally it said he was high on heroin which is incorrect the character was high on crack He is also just getting out of an NA meeting so its clear that he hasnt done heroin so it would be incorrect to say he is high on heroin and crack He is only high on crack and I changed the Wikipedia entry to reflect this This is the only change I made  The characters smoke crack in an empty building and get particularly amped up and throw themselves repeatedly at the window to the soundtrack of Smack my Bitch Up,no
130457,i aint neva sign my shit cuz im cool keep signing it for me bitch,yes
131944, Hello Utcursh   Hi thanks for ur messageI have no intrest in entertaining Sarvagnya whatsoeverSo for me its let bygones be bygonesAsk Saravagnya to stop bitching and badmouthing against me which hes still doingLet me again request u to see Belgaon talk page about the tall claims of him of being civil and me being incivil  But let me request u one more thingplz take back that sentence about me being a more troublemakerI am here for justice its very harsh and biased statement against meI am anything but a vandaliserI just want to make sure that MaharashtraMarathi related articles are no defamedAnd yeah PLEASE DONT FORGET TO KEEP A CLOSE LOOK ON MY AND SARVAGNYAS EDITSIts a earnest requestPlz take it very seriouslyI hope u will find a verify the contents of Seuna through a informed editor  Plz convey Sarvagnya on my behalf that I am not even intrested in talking terms with him so forget about quarrelsIf he doesnt provoke me and do anything wrong in MaharashtraMarathi related article we might not even confront each other againAnd of course since u r a part of our feud its my earnest request again to keep a watch on my and sarvagnyas editsFrom this moment I am civil with everyone here and mute with sarvagnya and his friends,no
132162, 27 September 2015 UTC  Youre the one who introduced Bosco bitch   0733,no
132502, April 2015 UTC  We could write A rape on campus is a totally bullshit article written by one lying bitch solely on the word of another lying bitch that almost got a bunch of innocent frat boys murdered in cold blood but by the grace of god it was mathematically proven to impossible at the p0000000001 level But I would prefer not to See my reply to JHamilton303 above   0002 9,yes
133325, def jam 4     you think you so bad little man do it again bitch,yes
133401,i hate mccain his is a bitch and has sex with me,yes
133588,Great companion dogs is accurate but has a positive spin  My grandmother had a bichon bitch The bitch would literally follow people around all the time  Good thing bichons are small if a lab did that one would get  hit with a tail and the lab would have to move in order for one to get by  She could not be left alone Literally would howl  until people came That is why my grandmother couldnt leave her at her traile to go to a store  The bichon was so  in need of constant attention that she howled for three contst hours with a person up stairs,no
134264, I have a suggestion   Why dont we start another article that can be accessed from the See Also link at the bottom of the page or possibly referenced by a link somewhere in the main article that would lead to an article that covers all of the theories and opinions from the MichaelkilledTerriandboughtthejudiciary school  Both the Project Apollo and Earth articles have similar separate pages to cover the Flat Earth theories and Apollo moon landing hoax accusations and they are the perfect analog to the dichotomy we are seeing in the talk page concerning the Terri Schiavo article  In the main article we would pretty much follow what we already have which is mostly supported by cites to court orders affidavits transcripts reports and articles and in the subsidiary article we could lay out all the alternative theories and whatever support they can provide  That way the antiTerri people could advance their POV that Michael must have killed Terri because Judge Greer has the same first name as Attorney Felos or whatever their theory is The rest of us who attempt to practice NPOV we all have a POVâ€”the trick is to try and minimize it can polish up the article and eliminate some of the convoluted narrative that POV pushers have forced us to contrive   Note that the comments on the peer review page have found the article to be generally quite NPOV The suggestions that were made were primarily form and not more or less POV     If you think my pages are conspiracy theories then put them at that link Here are some links you may find helpful Duck  httpenwikipediaorgwikiTalkTerriSchiavoarchive24Herearesomelinksthatyoumayfindhelpful    Holy crap There is a major difference between putting up a flatearth conspiracy article on wikipedia and a MichaelkilledTerriandboughtthejudiciary conspiracy article on wikipedia that youre forgetting Wikipedia cant get sued for libeldefamation for saying the earth is flat but it can get sued for saying Michael murdered Terri At some point the Iyer affidavit has to be tossed out as utter crap Wikipedia should report it as Iyers POV but wikipedia should also report all the surrounding pieces around it that show a complete lack of any supporting evidence To allow wikipedia to start reporting on every crackpot conspiracy theory that any jerkoff puts on his blog is 1 asking for serious legal trouble and 2 giving credence to utter crap conspiracy theories Any idiot with a blog can put his conspiracy theory on his blog Wikipedia can add nothing to that other than to give such a blog free advertising I also imagine that every single sentence will have to start with the phrase so and so said followed by a URL If so and so said is ever dropped wikipedia becomes open to libel At which point the only safe way to report some crackpot conspiracy theory on wikipedia would be to quote the site verbatim and you might as well let people find it on their own when they google Michael murdered Terri This is a really really bad idea    Your personal attacks are very tiresome Duckecho  FuelWagon  If you want a flatearther type conspiracy article then it should be about those who think that Terris mother father brother sister best friend etc who fought to save her life were AntiTerri rather than the estranged husband who she had wanted to divorce and who sought her death and forbade that she receive any kind of meaningful therapy for more than a dozen years and who was quoted in sworn testimony by a disinterested caregiver as complaining in her presence when is that bitch gonna die  If you want a flatearther type conspiracy article then it should be about those who actually claim to believe that literally dozens of physicians nurses nurse family members and friends most of whom had no plausible motive for dishonesty conspired to lie about Terris condition falsely claiming that she was responsive that she tried to talk that she ate and obviously enjoyed Jell,no
134915,williams is son of a bitch,yes
134918,  Sweet bitch   ,yes
135108,BITCH YOUR MOM IS A WHORE,yes
135351,SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK   SHE IS A BITCH OK,yes
135487, Ive been called an Islamofascist bitch a Bengali and a Zionist enforcer and now Im a corrupter of the truth Cool,yes
135629,You son of a bitch1111111,yes
135756, Cross referencing or lack therof will be a royal bitch so it will take time to get everything checked and cited,yes
137668,  It is I dont understand the point of all that bitching on Pariss talk page why dont those whore interested just roll up their sleeves and get on with the job of improving the article   ,no
141096, Mariah Carey   Im sorry but Im not the only person using this pc I didnt vandalize Mariah Carey article Sorry2014319123    It happens  Best thing to do is create yourself an account so you can have a separate identity  though Im not sure calling Mariah Carey a bitch is vandalism per se  more an opinion ,no
141322,  Cameroon Ancestry Falsehoods  Unfortunately  a lot of one drop rule bloggers have started an unsubstantiated rumor that CL is African and has Cameroonian ancestry His own statement about race via a racist incident was published May 8th 2012 in the Sunday Scotsman  One day he was out with a friend â€œin leopard with high heelsâ€ who was halfSpanish halfVietnamese Louboutin who â€œwas going to pee my pantsâ€ used a restaurant toilet  â€œThe staff went crazyâ€ he tells me â€œOne guy grabbed my friend by her hair and started calling her a little bitch I took my fist to him and he screamed â€˜Donâ€™t you dare touch a white guy or Iâ€™ll crush your nose even more flat than it isâ€™â€ I wasnâ€™t in a black or mixed race family so I had no experience of racism But still I was differentâ€ He was so young at the time What did he do â€œFor a few days I wanted to go back there and kill themâ€ he admits â€œI was full of angerâ€  Please refrain from tagging someone as Black or any race they are NOT unless you have documentation   ,yes
141818,   SolidarityIsForWhiteWomen   Came late to the discussion missed this whole thing at AfD Just have to point out that 1 this has already been a longrunning item it has certainly outlasted far more news cycles than some articles I could mention Mitt Romney dog incident anyone And 2 dont a lot of people talk about this who arent Black Slash arent part of Black Twitter I mean is Black Twitter the same as nonWhite Twitter A lot of nonBlack tweeps of color got in on this hashtag And the Guardian article cited in the SolidarityIsForWhiteWomen section doesnt use the phrase Black Twitter BTW heres another article from a mainstream source which doesnt use the phrase either So I probably would support this topic having a standalone article and maybe it can get one back later as more coverage emerges Short of that might this topic belong instead or hey also at an article about critiques of white feminism such as Womanism or Thirdwave feminism or IDK maybe Im totally out of line here what do other folks think about this    PS More coverage why doesnt this get its own article again Ms Magazine HuffPo The Wire Clutch Magazine Bitch Magazine Saloncom nowhere near an exhaustive list 3   ,no
142935,Now dance tard dance  Do the Mario bitch,yes
143588,and math i hate so mush is for bitches and wat is math,yes
143642,This doesnt seem to have a NPOV at all I doubt calling Bellevue High School a bunch of cheating sons of bitches is up to wikipedias standards either,yes
143659, Semiprotected edit request on 10 August 2015           Germany is a mother fuucker nation German people are mother fuucker people German nation is a nation of diick German people son of bitches females bitches ugly ugly people in the world German males haandjobs,yes
143880, riise   Go to hell bitch are u priod why do u think im wrong pussyhahbitch,yes
143898,when the hell was it confirmed that sabu will go for the world heavey weight title a one night stand if it does happen then thanks for the spoilers bitchs,yes
144488,Bleddy bitch,yes
144760, I have their CD and thats why Im 100 sure that the two  ARE included Im not blind u know I can clearly see them right before my very own eyes It says 1 CRYIN LIKE A BITCH and nothing else,no
145912, example   Shut up mazafaka  You squeeze it neega  Fak you beehatch  Whoz a beehatch njogga  Go phugg yurself dik ape  Got sum problemos there chingchong  Bitch down mountain gorilla,yes
146124, July 2011 UTC  A  You might srsly be surprised how man normal people not young webhead techie wikicrowd editors but normal readers do not know to click on the photo or do not do it routinely  B  Some websites give a bigger pic when you click on an image  Some do not  It is by no means universal for that to happen  C  Clicking sux  I want to incorporate info as fast and efficient as I can  D  Doesnt help if the page is printed  Ps  That said your MP review was bitchin     0216 12,no
146315,holelstn u sunava bitch shag ur mumWelcome,yes
146560,STOP BITCHING AND STOP DELETING MY HARD WORK,no
146651,I Like Rape  I like raping bitches because it feels so good I take em anyway I can  ,yes
147487,GOD DAMN YOU GOD DAMN YOUR CROSS AND YOUR FILTHY CABAL All Christians are children of the same bitch All of them are descendants of the same WHORE Few months ago they were all heavily engaged in propagating the myth of the alleged Armenian genocide The filthy cabal of Christian admins here and their meat puppets didnt save an effort propagating an event that never took place They used the todays feature picture the todays featured article and other fields  methods to propagate the myth  Today as Hiroshima marks the 70th anniversary of the US terroristic atomic bombing the most evil disgusting and immoral terroristic attack in the modern history one can see nothing about this WAR CRIME in the main page  So I felt that there is indeed a need to say this to the cabal GOD DAMN YOU  ,yes
147638,Others believe that Hitler had many problems with his brain which seemed inconclusive after he charged the queen calling her a backstabbing bitch with a whisker up her vagina  Strange comments like these continued throughout his life,no
148314,hot bitch  this chick is hot,yes
149309,   Listen you son of a bitch   Dont go after my work in which Ive lost months just to put boxes Dont delete information about episodes just because it cant look like IMDb Your luck is that I just dont know who you are or you would see And yes I did personal attacks and violate some shit thats what people do when sons of bitches have more protection against personal attacks than people that work against people who destroy others work Now if you want you can go and cry to an Administrator How can you expect people not to be angry and to be civil when theyre work is destroyed      You deleted things that Ive added even after you make your precious little boxes you even deleted links to pages that dont exist for now but most likely will be created in the future to have them now you even took the tiles when titles must have them mandatorily you even took the  from episodes titles another mandatory procedure that if is allowed means that names of episodes arent supposed to be deleted like you do and all that just because I didnt agree with you Ive made personal attacks I thought the problem was just with the box and the reverse chronology Do you even know how much Ive wasted for this crapp And boxes arent mandatory You even deleted links to pages with the subjective reason of red links look oh so horrible I hope it will be you and not me who is going to check everytime if the movies already have an article and add it to every dozens of pages that have blanks This just shows how much of a son of a bitch you are      You know what You do the job Im sick and tired of this scumbag people I wonbt make any more contribution to anything else film or television related I didnt do it for subhumans like you I did it for information and for the sake of the actors themselves but enough is enough Oh I do a useful job some articles need filmographies then dont ruin them much less under the cover of conveying info better whatever that might be since again nothing makes us use boxes but I wont do that job anymore you do it I wont let you explore my contributions and my time In fact Ill even difficult it for you Wikipedia is a shit and so are you guys who work on it we dont need this site anything worthy we can just copy and past to IMDb to be more complete IMDb IS more complete specially now theyre creating pages for characters and as I said you cant handle that You say its not credible but guess what one day it will be and then it will be the best database on films while wikipedia wont be anything Wikipedia will just be a secondary source to complete IMDb Wikipedia is the not credible one exactly because of people like you Check this out wwwindependentieopinionanalysisliesdamnedliesandthewickednessofwikipedia1388050html Enjoy it And go ahead and delete my account I cant wait for it Im sick of having to check every retarded message you people post in my page If it gets deleted it gets permanently blanked      Then go ahead and block me Its really what I want   ,no
149560,How is that more appropriate At all Like even a little bit Why would it be How do you determine the appropriateness of this  Good lord How does one get to make etymological findings Word go in book Word go in dictionary You cant prove an opinion one way or another It was always negative Slovenly  UglyRubbish  garbage can Sluthole which was a 19th century term for garbage all of that can easily be transformed metonymysynecdoche into how we use it Indeed the concept of dishevelment is as related to loose as anything and sex tends to make one disheveled Both terms begin the etymology game a single degree of Kevin Bacon from what we have And by the way you need to fill in the gap between bitch applying primarily to women rather than dogs to make this leap which you didnt do there  ,no
150297,   JoLEE     You bitch Well just kidding Anyway I just thought Id let you know that you officially get BERAD Sloppy seconds JK again Like I said you can have im cuz Im DONE Bai    ,no
150783,You Are so CHILDISH You BITCH,yes
151194,  Sooo I think Ive gone as far as I can with Frazer Rosie and Wills articles I wasnt sure if you were going work on Pepper or not so I left it for now Along the way I came across these two references Metro Inside Soap Nominations 2007 and LiverpoolEcho Inside Soap Awards 2008 as we include award nominations Its Reception Mania Archiving would be good good news is there are not seperate links bad news or good a load of characters were put up for awards for stoylines bitches couples actors that will take us a while to add them Harold Janae Karl and Susan get the most noms so finally a little more reception for them I wonder who was nomminated in 2009 and 2010 LOL  ,no
151413,Im a little BITCHHelloThereMinions    Anything above this text is true,yes
151507,that nigga who deleted my shit is a bitch nigga,yes
151559,  Did Obama call a political opponent a cancer and a bitch or laugh out loud when someone else did   ,yes
151594, He was a philanthropist   Ha ha ha ha ha ha ha  This son of a bitch founded an oil company which supplied Wehrmacht with fuel  Rockefellers are pure evil they are everything but philanthropists,no
151641,Vandalisers like 2 dolla hoes   BITCH BITCH BITCH BITCH BITCH,yes
151644, SLUT   I hope you get breast cancer you vile little piece of pelican shit You slutty teenage bitch,yes
152141,Shes a little self obssessed and self righteous bitch thats all I think  Me,yes
152757,dude you are all bitches you sit there and police some gay website that cant isnt even viable information because of people like you guys thanks for making the world a better place Conche tu madre,yes
